dataset,algorithm,rt,centr,knn,ogf
CAFs,pca,0.7545394126184154,0.32547517532309794,0.46738677481064406,0.6109630937145297
CellMix,pca,1.15445831165228,0.9932705132650297,0.6549009462638675,0.9046796289580737
Duo4eq,pca,0.746895621374655,1.3271681822359955,-1.9798312638333715,-0.6164678212293582
Duo8eq,pca,0.7236138666580215,1.271518570740836,-1.8870377717314213,-0.5817119525366998
FMNIST,pca,1.9897959840024217,1.2816366819217733,-2.2831003035987956,-0.1466521597981869
Kang,pca,0.9626714263676542,-0.7537714859711695,-0.9987085002121072,-0.01801853692222649
MNIST,pca,-1.1218546176183832,0.5151897599656919,-2.8976375077400323,-2.009746062679208
Muraro,pca,0.2522697613149007,0.30162534182517103,-1.3391043070978668,-0.543417272891483
TMLung,pca,1.5133317837870897,0.5401236768044334,0.2573791857504341,0.8853554847687619
TMPanc,pca,1.7443867770615942,1.3987176827297745,-0.3890273826008234,0.6776796972303853
CAFs,tsne,0.5610587670622667,1.8280146856924455,0.8397112260912174,0.700384996576742
CellMix,tsne,0.09571152989867455,-0.6762178315898013,0.9032788153342427,0.49949517261645865
Duo4eq,tsne,-0.8270777008969882,-1.1770643350462506,-0.6416514303631403,-0.7343645656300642
Duo8eq,tsne,-0.7787720193420616,-0.07997199414164699,-0.47722787418249174,-0.6279999467622767
FMNIST,tsne,0.0170729761408433,0.6745500110654714,-0.08178270974402405,-0.03235486680159037
Kang,tsne,0.2605624284364822,-0.8238199479930506,0.5586452162779808,0.4096038223572315
MNIST,tsne,-1.8680575950266067,-0.023599660419276424,0.7359901961295318,-0.5660336994485375
Muraro,tsne,-0.5729500198263519,-1.785235089243367,0.6582407612946465,0.042645370734147314
TMLung,tsne,0.7215759133573757,-0.06804707739268395,0.6592722886025825,0.6904241009799791
TMPanc,tsne,-0.2435553338498853,0.18237617433554065,0.7772001618771629,0.2668224140136388
CAFs,umap,0.5531075076558515,0.8263216787795471,0.8851166469790919,0.7191120773174717
CellMix,umap,-0.9532703526641471,-1.5109620040172165,0.9032788153342427,-0.024995768664952178
Duo4eq,umap,-0.8680979353977267,-2.679603845415598,-0.7458406144776113,-0.806969274937669
