,dataset,algorithm,rt,knn
0,CAFs,pca,0.7880446927374302,0.9329608938547486
1,CellMix,pca,0.8133333333333332,0.9618001046572476
2,Duo4eq,pca,0.7875613420130194,0.556584877315974
3,Duo8eq,pca,0.7860891337005509,0.5708562844266399
4,FMNIST,pca,0.8661554285714285,0.5099428571428571
5,Kang,pca,0.8012058004143153,0.7074791056504036
6,MNIST,pca,0.669392,0.4154285714285714
7,Muraro,pca,0.7562839614373358,0.6551270815074496
8,TMLung,pca,0.8360264900662251,0.9006622516556292
9,TMPanc,pca,0.8506371191135734,0.8012465373961218
10,CAFs,tsne,0.7758100558659218,0.9902234636871508
11,CellMix,tsne,0.7463840920983779,1.0
12,Duo4eq,tsne,0.6880320480721082,0.7623935903855784
13,Duo8eq,tsne,0.6910866299449174,0.7876815222834251
14,FMNIST,tsne,0.7414114285714286,0.8485
15,Kang,tsne,0.7568083434531039,0.9469962140152868
16,MNIST,tsne,0.6222062857142857,0.9742714285714286
17,Muraro,tsne,0.7041016652059596,0.962313759859772
18,TMLung,tsne,0.7859602649006623,0.9624724061810156
19,TMPanc,tsne,0.7249307479224377,0.9806094182825484
20,CAFs,umap,0.7753072625698325,0.9972067039106144
21,CellMix,umap,0.6800523286237572,1.0
22,Duo4eq,umap,0.6854381572358539,0.7463695543314972
23,Duo8eq,umap,0.6519379068602904,0.7816725087631448
24,FMNIST,umap,0.7283028571428571,0.7722428571428571
25,Kang,umap,0.7200657189799272,0.9479962854489606
26,MNIST,umap,0.6127594285714286,0.9688
27,Muraro,umap,0.6348641542506572,0.9609991235758109
28,TMLung,umap,0.7396026490066225,0.9536423841059604
29,TMPanc,umap,0.7115789473684211,0.974376731301939
30,CAFs,pacmap,0.790558659217877,0.9916201117318436
31,CellMix,pacmap,0.7962009419152276,1.0
32,Duo4eq,pacmap,0.773420130195293,0.7633950926389584
33,Duo8eq,pacmap,0.77206810215323,0.7934401602403606
34,FMNIST,pacmap,0.7364279999999999,0.7492285714285715
35,Kang,pacmap,0.7873019501392957,0.956639759982856
36,MNIST,pacmap,0.6069211428571428,0.9737142857142858
37,Muraro,pacmap,0.7416301489921121,0.9618755477651184
38,TMLung,pacmap,0.764326710816777,0.9514348785871964
39,TMPanc,pacmap,0.7130470914127424,0.9709141274238228
40,CAFs,$\alpha = $0.25,0.786145251396648,0.9371508379888268
41,CellMix,$\alpha = $0.25,0.8152171637885924,0.9534275248560964
42,Duo4eq,$\alpha = $0.25,0.783815723585378,0.5635953930896345
43,Duo8eq,$\alpha = $0.25,0.7854882323485228,0.5803705558337506
44,FMNIST,$\alpha = $0.25,0.8665714285714285,0.5200142857142858
45,Kang,$\alpha = $0.25,0.7972455175369669,0.7191227944853203
46,MNIST,$\alpha = $0.25,0.6686668571428571,0.4317714285714286
47,Muraro,$\alpha = $0.25,0.7553198948290973,0.621384750219106
48,TMLung,$\alpha = $0.25,0.8361147902869757,0.9006622516556292
49,TMPanc,$\alpha = $0.25,0.8484487534626037,0.8150969529085873
50,CAFs,$\alpha = $0.5,0.787486033519553,0.9636871508379888
51,CellMix,$\alpha = $0.5,0.7654003139717425,0.998430141287284
52,Duo4eq,$\alpha = $0.5,0.7748022033049574,0.5776164246369554
53,Duo8eq,$\alpha = $0.5,0.7847871807711566,0.6151727591387081
54,FMNIST,$\alpha = $0.5,0.8474942857142856,0.5849857142857143
55,Kang,$\alpha = $0.5,0.7835873990999357,0.8846346167583399
56,MNIST,$\alpha = $0.5,0.6513,0.5543857142857143
57,Muraro,$\alpha = $0.5,0.7562313759859773,0.9544259421560036
58,TMLung,$\alpha = $0.5,0.8125386313465783,0.8807947019867549
59,TMPanc,$\alpha = $0.5,0.8303047091412742,0.8947368421052632
60,CAFs,$\alpha = $0.75,0.788826815642458,0.9972067039106144
61,CellMix,$\alpha = $0.75,0.6929670329670329,1.0
62,Duo4eq,$\alpha = $0.75,0.7244767150726089,0.6985478217325989
63,Duo8eq,$\alpha = $0.75,0.6784476715072609,0.6907861792689034
64,FMNIST,$\alpha = $0.75,0.7577851428571428,0.7446428571428572
65,Kang,$\alpha = $0.75,0.7343838845631832,0.9462104436031143
66,MNIST,$\alpha = $0.75,0.6200022857142857,0.9616571428571428
67,Muraro,$\alpha = $0.75,0.6551270815074497,0.962313759859772
68,TMLung,$\alpha = $0.75,0.7490507726269315,0.93598233995585
69,TMPanc,$\alpha = $0.75,0.7403324099722991,0.9702216066481996
0,CAFs,$\alpha = \alpha^*$,0.794413407821229,0.9958100558659218
1,CellMix,$\alpha = \alpha^*$,0.8158555729984303,0.9612768184196756
2,Duo4eq,$\alpha = \alpha^*$,0.787841762643966,0.556584877315974
3,Duo8eq,$\alpha = \alpha^*$,0.7861692538808212,0.6151727591387081
4,FMNIST,$\alpha = \alpha^*$,0.8564617142857143,0.5631428571428572
5,Kang,$\alpha = \alpha^*$,0.7760754339595686,0.908136295449675
6,MNIST,$\alpha = \alpha^*$,0.6198182857142858,0.9616571428571428
7,Muraro,$\alpha = \alpha^*$,0.7736722173531989,0.9233128834355828
8,TMLung,$\alpha = \alpha^*$,0.8381456953642384,0.9006622516556292
9,TMPanc,$\alpha = \alpha^*$,0.8300554016620498,0.8947368421052632
