dataset,alpha,rt,knn,ogf
CAFs,0.7,0.794413407821229,0.9958100558659218,0.8656454639506082
CellMix,0.05,0.8158555729984303,0.9612768184196756,0.9229219759732089
Duo4eq,0.0,0.787841762643966,0.556584877315974,-0.6142505112563441
Duo8eq,0.45,0.7861692538808212,0.6151727591387081,-0.4370043292432631
FMNIST,0.45,0.8564617142857143,0.5631428571428572,-0.05034649301151706
Kang,0.55,0.7760754339595686,0.908136295449675,0.43561567040808147
MNIST,0.75,0.6198182857142858,0.9616571428571429,-0.6259252179702208
Muraro,0.45,0.7736722173531989,0.9233128834355828,0.46595274518656726
TMLung,0.1,0.8381456953642384,0.9006622516556292,0.9021122227672755
TMPanc,0.5,0.8300554016620498,0.8947368421052632,0.8188779036146022
