,dataset,alpha,rt,knn,ogf
0,CAFs,0.7,0.8552553650996987,0.8760355628015177,0.8656454639506082
1,CellMix,0.05,1.1943454422451585,0.6514985097012593,0.9229219759732088
2,Duo4eq,0.0,0.7513302413206838,-1.979831263833372,-0.6142505112563441
3,Duo8eq,0.45,0.7248809009283127,-1.598889559414839,-0.4370043292432631
4,FMNIST,0.45,1.836497923950918,-1.9371909099739522,-0.050346493011517
5,Kang,0.55,0.5652555017438506,0.30597583907231224,0.4356156704080814
6,MNIST,0.75,-1.9058218365354043,0.6539714005949618,-0.6259252179702208
7,Muraro,0.45,0.5272506222124866,0.40465486816064794,0.4659527451865672
8,TMLung,0.1,1.546845259784117,0.25737918575043417,0.9021122227672757
9,TMPanc,0.5,1.4189039678048223,0.21885183942438213,0.8188779036146022
